NOME_CURSO,IES,UF,pergunta,categoria,enunciado,media,n,rank
Ciência Da Computação (Bacharelado) (19641),FMU,SP,66,Aprendizagem além do técnico,"As atividades acadêmicas desenvolvidas dentro e fora da sala de aula possibilitaram reflexão, convivência e respeito à diversidade.",5.699999999999999,60,2
Ciência Da Computação (Bacharelado) (62484),UFAM,AM,42,Curso em geral,O curso exigiu de você organização e dedicação frequente aos estudos.,5.698113207547171,53,1
Ciência Da Computação (Bacharelado) (62484),UFAM,AM,63,Infraestrutura,Os ambientes e equipamentos destinados às aulas práticas foram adequados ao curso.,5.698113207547171,53,2
Ciência Da Computação (Bacharelado) (19047),UNIPÊ,PB,65,Infraestrutura,A instituição contou com biblioteca virtual ou conferiu acesso a obras disponíveis em acervos virtuais.,5.69811320754717,53,4
Ciência Da Computação (Bacharelado) (13446),UFCG,PB,58,"Ensino, apoio e avaliacão","Os professores utilizaram tecnologias da informação e comunicação (TICs) como estratégia de ensino (projetor multimídia, laboratório de informática, ambiente virtual de aprendizagem).",5.696969696969696,66,7
Ciência Da Computação (Bacharelado) (7511),PUC MINAS,MG,60,Curso em geral,O curso disponibilizou monitores ou tutores para auxiliar os estudantes.,5.696428571428571,56,2
Ciência Da Computação (Bacharelado) (43257),FUMEC,MG,64,Infraestrutura,A biblioteca dispôs das referências bibliográficas que os estudantes necessitaram.,5.685714285714286,70,3
Ciência Da Computação (Bacharelado) (7511),PUC MINAS,MG,59,Infraestrutura,A instituição dispôs de quantidade suficiente de funcionários para o apoio administrativo e acadêmico.,5.685185185185185,54,2
Ciência Da Computação (Bacharelado) (14098),UFG,GO,58,"Ensino, apoio e avaliacão","Os professores utilizaram tecnologias da informação e comunicação (TICs) como estratégia de ensino (projetor multimídia, laboratório de informática, ambiente virtual de aprendizagem).",5.682539682539683,63,8
Ciência Da Computação (Bacharelado) (13717),UFRGS,RS,58,"Ensino, apoio e avaliacão","Os professores utilizaram tecnologias da informação e comunicação (TICs) como estratégia de ensino (projetor multimídia, laboratório de informática, ambiente virtual de aprendizagem).",5.681818181818182,88,9
Ciência Da Computação (Bacharelado) (62484),UFAM,AM,49,Curso em geral,O curso propiciou acesso a conhecimentos atualizados e/ou contemporâneos em sua área de formação.,5.679245283018869,53,1
Ciência Da Computação (Bacharelado) (19047),UNIPÊ,PB,68,Infraestrutura,"A instituição dispôs de refeitório, cantina e banheiros em condições adequadas que atenderam as necessidades dos seus usuários.",5.679245283018868,53,3
Ciência Da Computação (Bacharelado) (17937),UNESC,SC,67,Infraestrutura,"A instituição promoveu atividades de cultura, de lazer e de interação social.",5.677966101694915,59,1
Ciência Da Computação (Bacharelado) (19641),FMU,SP,54,Curso em geral,"Os estudantes participaram de avaliações periódicas do curso (disciplinas, atuação dos professores, infraestrutura).",5.677966101694915,59,2
Ciência Da Computação (Bacharelado) (7511),PUC MINAS,MG,64,Infraestrutura,A biblioteca dispôs das referências bibliográficas que os estudantes necessitaram.,5.672727272727272,55,4
Ciência Da Computação (Bacharelado) (17937),UNESC,SC,50,Outros,O estágio supervisionado proporcionou experiências diversificadas para a sua formação.,5.666666666666667,51,1
Ciência Da Computação (Bacharelado) (19641),FMU,SP,58,"Ensino, apoio e avaliacão","Os professores utilizaram tecnologias da informação e comunicação (TICs) como estratégia de ensino (projetor multimídia, laboratório de informática, ambiente virtual de aprendizagem).",5.666666666666666,60,10
Ciência Da Computação (Bacharelado) (43257),FUMEC,MG,58,"Ensino, apoio e avaliacão","Os professores utilizaram tecnologias da informação e comunicação (TICs) como estratégia de ensino (projetor multimídia, laboratório de informática, ambiente virtual de aprendizagem).",5.666666666666666,75,11
Ciência Da Computação (Bacharelado) (13595),UFPE,PE,58,"Ensino, apoio e avaliacão","Os professores utilizaram tecnologias da informação e comunicação (TICs) como estratégia de ensino (projetor multimídia, laboratório de informática, ambiente virtual de aprendizagem).",5.663716814159292,113,12
Ciência Da Computação (Bacharelado) (7511),PUC MINAS,MG,54,Curso em geral,"Os estudantes participaram de avaliações periódicas do curso (disciplinas, atuação dos professores, infraestrutura).",5.660714285714286,56,3
Ciência Da Computação (Bacharelado) (19047),UNIPÊ,PB,59,Infraestrutura,A instituição dispôs de quantidade suficiente de funcionários para o apoio administrativo e acadêmico.,5.660377358490566,53,3
Ciência Da Computação (Bacharelado) (43257),FUMEC,MG,65,Infraestrutura,A instituição contou com biblioteca virtual ou conferiu acesso a obras disponíveis em acervos virtuais.,5.657534246575342,73,5
Ciência Da Computação (Bacharelado) (5079),NA,NA,68,Infraestrutura,"A instituição dispôs de refeitório, cantina e banheiros em condições adequadas que atenderam as necessidades dos seus usuários.",5.65625,96,4
Ciência Da Computação (Bacharelado) (17937),UNESC,SC,44,Curso em geral,Foram oferecidas oportunidades para os estudantes participarem de projetos de iniciação científica e de atividades que estimularam a investigação acadêmica.,5.65,60,2
Ciência Da Computação (Bacharelado) (19641),FMU,SP,39,"Ensino, apoio e avaliacão",As referências bibliográficas indicadas pelos professores nos planos de ensino contribuíram para seus estudos e aprendizagens.,5.65,60,1
Ciência Da Computação (Bacharelado) (19641),FMU,SP,57,"Ensino, apoio e avaliacão",Os professores demonstraram domínio dos conteúdos abordados nas disciplinas.,5.65,60,1
Ciência Da Computação (Bacharelado) (19641),FMU,SP,34,Aprendizagem além do técnico,"O curso promoveu o desenvolvimento da sua capacidade de pensar criticamente, analisar e refletir sobre soluções para problemas da sociedade.",5.6499999999999995,60,1
Ciência Da Computação (Bacharelado) (19641),FMU,SP,35,Aprendizagem além do técnico,O curso contribuiu para você ampliar sua capacidade de comunicação nas formas oral e escrita.,5.6499999999999995,60,1
Ciência Da Computação (Bacharelado) (62484),UFAM,AM,59,Infraestrutura,A instituição dispôs de quantidade suficiente de funcionários para o apoio administrativo e acadêmico.,5.6415094339622645,53,4
Ciência Da Computação (Bacharelado) (19799),FEI,SP,61,Infraestrutura,As condições de infraestrutura das salas de aula foram adequadas.,5.640000000000001,50,2
Ciência Da Computação (Bacharelado) (17937),UNESC,SC,32,Aprendizagem além do técnico,No curso você teve oportunidade de aprender a trabalhar em equipe.,5.639344262295082,61,2
Ciência Da Computação (Bacharelado) (17937),UNESC,SC,41,Curso em geral,A coordenação do curso esteve disponível para orientação acadêmica dos estudantes.,5.639344262295082,61,2
