NU_ANO,CO_IES,CO_CATEGAD,CO_ORGACAD,CO_GRUPO,CO_CURSO,CO_MODALIDADE,CO_MUNIC_CURSO,CO_UF_CURSO,CO_REGIAO_CURSO,NU_IDADE,TP_SEXO,ANO_FIM_EM,ANO_IN_GRAD,CO_TURNO_GRADUACAO,TP_INSCRICAO_ADM,TP_INSCRICAO,TP_PRES,TP_SCE_D1,TP_SCE_D2,TP_SCE_D3,NT_GER,NT_FG,NT_OBJ_FG,NT_DIS_FG,NT_FG_D1,NT_FG_D1_PT,NT_FG_D1_CT,NT_FG_D2,NT_FG_D2_PT,NT_FG_D2_CT,NT_CE,NT_OBJ_CE,NT_DIS_CE,NT_CE_D1,NT_CE_D2,NT_CE_D3,CO_RS_I1,CO_RS_I2,CO_RS_I3,CO_RS_I4,CO_RS_I5,CO_RS_I6,CO_RS_I7,CO_RS_I8,CO_RS_I9,QE_I01,QE_I02,QE_I03,QE_I04,QE_I05,QE_I06,QE_I07,QE_I08,QE_I09,QE_I10,QE_I11,QE_I12,QE_I13,QE_I14,QE_I15,QE_I16,QE_I17,QE_I18,QE_I19,QE_I20,QE_I21,QE_I22,QE_I23,QE_I24,QE_I25,QE_I26,QE_I27,QE_I28,QE_I29,QE_I30,QE_I31,QE_I32,QE_I33,QE_I34,QE_I35,QE_I36,QE_I37,QE_I38,QE_I39,QE_I40,QE_I41,QE_I42,QE_I43,QE_I44,QE_I45,QE_I46,QE_I47,QE_I48,QE_I49,QE_I50,QE_I51,QE_I52,QE_I53,QE_I54,QE_I55,QE_I56,QE_I57,QE_I58,QE_I59,QE_I60,QE_I61,QE_I62,QE_I63,QE_I64,QE_I65,QE_I66,QE_I67,QE_I68,NOME_CURSO,Código Mantenedora,CNPJ,Natureza Jurídica,Instituição(IES),Sigla,Endereço,Município,UF,Organização Acadêmica,Categoria,Categoria Administrativa,IGC,Ano IGC
2017,2564,1,10028,2402,13405,1,2503704,25,2,22,F,2012,2014,1,0,1,555,555,555,555,58.3,59.6,75,36.5,0,30,0,73,65,75,57.9,62.5,31.7,20,0,75,C,C,D,B,C,D,A,D,D,A,D,A,E,F,B,E,C,B,C,A,A,C,A,A,25,B,A,B,C,A,E,D,D,E,C,5,5,5,6,6,6,6,6,6,5,5,4,4,3,5,6,5,5,3,6,5,4,6,6,6,2,2,3,4,5,5,5,4,6,3,3,1,2,1,6,6,2,História (Licenciatura),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
2017,2564,1,10028,2402,13405,1,2503704,25,2,21,F,2013,2014,1,0,1,555,555,555,555,41.1,56.7,37.5,85.5,95,75,100,76,80,75,35.9,37.5,26.7,10,50,20,C,C,D,B,C,C,B,C,E,A,D,A,B,B,B,E,A,A,A,A,E,A,A,E,25,A,A,B,C,B,C,D,E,E,A,5,6,4,6,6,6,6,5,6,4,4,4,4,4,6,5,6,6,4,4,4,4,5,5,7,5,1,3,5,5,6,5,5,4,2,2,2,4,4,5,4,4,História (Licenciatura),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
2017,2564,1,10028,2402,13405,1,2503704,25,2,33,F,2003,2014,1,0,1,555,555,555,555,42.5,65.4,75,51,74,50,80,28,40,25,34.9,37.5,20,25,25,10,D,C,B,B,A,B,A,D,C,B,D,A,A,B,C,B,A,B,A,A,A,A,A,A,25,A,A,B,C,B,B,C,E,H,A,5,5,3,4,5,4,5,5,4,4,4,5,5,5,6,6,5,5,5,4,4,4,4,4,7,1,1,4,5,5,5,4,4,5,5,5,5,4,3,5,5,4,História (Licenciatura),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
2017,2564,1,10028,2402,13405,1,2503704,25,2,22,F,2013,2014,1,0,1,555,555,555,555,61.2,58.9,62.5,53.5,54,50,55,53,65,50,61.9,70.8,11.7,10,25,0,C,C,C,A,A,B,.,D,D,A,F,A,A,B,B,D,A,B,A,A,C,C,A,A,25,A,E,D,H,B,C,E,E,H,A,5,6,6,1,5,6,6,6,5,6,1,5,6,5,6,5,6,5,6,4,2,2,6,4,8,2,1,4,3,5,5,5,6,5,1,1,3,5,1,4,4,1,História (Licenciatura),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
2017,2564,1,10028,2402,13405,1,2503704,25,2,23,F,2011,2014,1,0,1,555,555,555,555,35,43.5,37.5,52.5,74,70,75,31,55,25,32.1,33.3,25,0,0,75,C,C,A,C,C,B,D,D,B,A,C,A,A,B,B,C,A,B,A,A,A,D,A,C,23,A,A,B,K,B,C,E,E,H,E,4,3,4,4,5,4,5,5,5,5,4,4,4,3,3,3,4,4,2,3,4,3,4,4,7,7,7,1,3,3,4,7,4,4,1,3,2,3,1,3,5,2,História (Licenciatura),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
2017,2564,1,10028,2402,13405,1,2503704,25,2,23,F,2012,2014,1,0,1,555,555,555,555,52.9,73.6,75,71.5,90,50,100,53,65,50,46,50,23.3,35,25,10,D,C,C,D,B,B,C,D,C,B,D,A,B,C,C,B,A,A,A,H,F,F,A,A,25,D,A,B,I,A,E,E,E,E,F,6,6,6,6,6,5,6,6,6,6,5,6,5,5,6,6,6,6,5,6,6,5,6,6,6,6,1,6,6,6,6,6,6,6,1,1,1,6,6,6,6,6,História (Licenciatura),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
2017,2564,1,10028,2402,13405,1,2503704,25,2,29,F,2006,2012,1,0,1,555,555,555,555,24.2,25.5,12.5,45,79,75,80,11,55,0,23.8,25,16.7,0,0,50,.,.,.,.,.,.,.,.,.,A,D,A,C,B,B,D,A,B,A,A,A,A,A,A,25,A,A,B,C,B,B,B,E,E,C,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,História (Licenciatura),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
2017,2564,1,10028,2402,13405,1,2503704,25,2,23,M,2012,2014,1,0,1,555,555,555,555,40.3,53.4,50,58.5,51,55,50,66,50,70,35.9,41.7,3.3,0,0,10,D,D,C,B,B,C,B,A,B,A,A,A,B,D,B,C,C,B,A,A,B,A,A,D,25,A,A,A,A,A,C,D,A,A,A,6,5,5,5,6,5,5,5,4,5,6,5,6,5,6,5,6,6,6,6,6,5,5,6,6,7,7,7,5,6,6,5,4,5,2,5,3,4,4,6,6,3,História (Licenciatura),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
2017,2564,1,10028,2402,13405,1,2503704,25,2,27,F,2009,2014,1,0,1,555,555,555,555,39.8,50.7,37.5,70.5,66,50,70,75,75,75,36.1,37.5,28.3,0,25,60,C,C,D,A,C,D,A,A,D,A,D,A,B,C,E,D,A,C,A,A,F,F,A,D,29,A,A,A,B,B,D,D,E,H,A,7,7,5,5,5,4,5,7,5,5,3,4,4,3,5,6,6,7,6,3,4,7,5,4,7,8,8,4,5,4,5,5,6,5,7,5,5,4,8,5,8,5,História (Licenciatura),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
2017,2564,1,10028,2402,13405,1,2503704,25,2,28,F,2008,2014,1,0,1,555,555,555,555,47.3,59.4,50,73.5,76,60,80,71,55,75,43.2,45.8,28.3,0,25,60,C,C,C,B,B,C,D,D,D,A,D,A,B,B,B,G,B,B,A,A,A,A,A,A,25,A,A,B,C,B,B,C,E,E,A,6,6,6,5,6,5,6,6,6,5,6,6,6,5,6,6,6,6,5,7,5,7,5,6,5,7,7,7,5,6,6,6,6,6,5,7,7,5,7,6,5,5,História (Licenciatura),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
