IesCd;IesNome;IesSigla;IesSiglaAgrupada;NaturezaJuridica;NaturezaJuridicaMEC;Comunitária;Filantrópica;Confessional;MunicipioCdCompleto
53045009;ASSOCIAÇÃO NACIONAL DOS DIRIGENTES DAS INSTITUIÇÕES FEDERAIS DE ENSINO SUPERIOR;ANDIFES;ANDIFES;Pública Federal;Pública Federal;;;;5300108
33053014;CENTRO UNIVERSITÁRIO MOURA LACERDA;CUML;CUML;Particular;Privada sem fins lucrativos;;;;3543402
33028010;CENTRO UNIVERSITÁRIO SÃO CAMILO;CUSC;CUSC;Particular;Privada sem fins lucrativos;;;;3550308
53037014;CENTRO DE FORMAÇÃO, TREINAMENTO E APERFEIÇOAMENTO;CEFOR;CEFOR;Pública Federal;Pública Federal;;;;5300108
33138010;ESCOLA DE ADMINISTRAÇÃO DE EMPRESAS DE SÃO PAULO;EAESP/FGV;FGV/SP;Particular;Privada sem fins lucrativos;;;;3550308
53032012;CENTRO UNIVERSITÁRIO DO DISTRITO FEDERAL;UDF;UDF;Particular;Privada com fins lucrativos;;;;5300108
53012011;INSTITUTO DE PESQUISA ECONÔMICA APLICADA;IPEA;IPEA;Pública Federal;Pública Federal;;;;5300108
53022017;FUNDAÇÃO DE ENSINO E PESQUISA EM CIÊNCIAS DA SAÚDE;FEPECS;FEPECS;Pública Estadual;Pública Estadual;;;;5300108
53044002;Escola de Governo em Saúde/Diretoria Regional de Brasília Fiocruz;EGS/FIOCRUZ Brasília;FIOCRUZ;Pública Federal;Pública Federal;;;;5300108
30001013;UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO;UFES;UFES;Pública Federal;Pública Federal;;;;3200201
28008014;ESCOLA BAHIANA DE MEDICINA E SAÚDE PÚBLICA;EBMSP;EBMSP;Particular;Privada sem fins lucrativos;;;;2927408
30014018;FACULDADE UNIDA DE VITÓRIA;FUV;FUV;Particular;Privada com fins lucrativos;;;;3205309
30010012;FACULDADE DE DIREITO DE VITORIA;FDV;FDV;Particular;Privada com fins lucrativos;;;;3205309
30004012;Instituto Federal de Educação, Ciência e Tecnologia do Espírito Santo;IFES;IFES;Pública Federal;Pública Federal;;;;3200201
33128014;ESCOLA DE ECONOMIA DE SÃO PAULO DA FUNDAÇÃO GETÚLIO VARGAS;EESP/FGV;FGV/SP;Particular;Privada sem fins lucrativos;;;;3550308
30013011;ESCOLA SUPER. DE CIÊNC DA ST CASA DE MISERICORDIA DE VITORIA;EMESCAM;EMESCAM;Particular;Privada sem fins lucrativos;;;;3205309
32083017;ESCOLA SUPERIOR DOM HELDER CÂMARA;ESDHC;ESDHC;Particular;Privada sem fins lucrativos;;;;3106200
52010015;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA GOIANO;IFGoiano;IFGoiano;Pública Federal;Pública Federal;;;;5205406
52012018;UNIVERSIDADE ESTADUAL DE GOIÁS;UEG;UEG;Pública Estadual;Pública Estadual;;;;5201108
