IesCd;IesNome;IesSigla;IesSiglaAgrupada;NaturezaJuridica;NaturezaJuridicaMEC;Comunitária;Filantrópica;Confessional;MunicipioCdCompleto
32057016;INSTITUTO NACIONAL DE TELECOMUNICAÇÕES;INATEL;INATEL;Particular;Privada sem fins lucrativos;;;;3159605
31004016;UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO;UERJ;UERJ;Pública Estadual;Pública Estadual;;;;3301702
31002013;UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO;UFRRJ;UFRRJ;Pública Federal;Pública Federal;;;;3305554
31001017;UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;UFRJ;UFRJ;Pública Federal;Pública Federal;;;;3302403
33129010;INSTITUTO DE ENSINO E PESQUISA;INSPER;INSPER;Particular;Privada sem fins lucrativos;;;;3550308
42042011;CENTRO UNIVERSITÁRIO METODISTA IPA;IPA;IPA;Particular;Privada sem fins lucrativos;SIM;SIM;SIM;4314902
31018017;UNIVERSIDADE ESTÁCIO DE SÁ;UNESA;UNESA;Particular;Privada com fins lucrativos;;;;3304557
31034012;FACULDADE DE ECONOMIA E FINANÇAS DO IBMEC;IBMEC;IBMEC;Particular;Privada com fins lucrativos;;;;3304557
31035019;UNIVERSIDADE DO GRANDE RIO - PROF JOSE DE SOUZA HERDY;UNIGRANRIO;UNIGRANRIO;Particular;Privada com fins lucrativos;;;;3301702
33140014;INSTITUTO DE PESQUISAS ECOLÓGICAS;IPÊ;IPÊ;Particular;Privada sem fins lucrativos;;;;3532405
31021018;UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO;UNIRIO;UNIRIO;Pública Federal;Pública Federal;;;;3304557
31009018;CENTRO BRASILEIRO DE PESQUISAS FÍSICAS;CBPF;CBPF;Pública Federal;Pública Federal;;;;3304557
31013015;OBSERVATÓRIO NACIONAL;ON;ON;Pública Federal;Pública Federal;;;;3304557
31057012;INSTITUTO DE PESQUISA JARDIM BOTANICO DO RIO DE JANEIRO;JBRJ;JBRJ;Pública Federal;Pública Federal;;;;3304557
31007015;INSTITUTO MILITAR DE ENGENHARIA;IME;IME;Pública Federal;Pública Federal;;;;3304557
31022014;CENTRO FEDERAL DE EDUCAÇÃO TECN. CELSO SUCKOW DA FONSECA;CEFET/RJ;CEFET/RJ;Pública Federal;Pública Federal;;;;3304557
31050018;INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO RIO DE JANEIRO;IFRJ;IFRJ;Pública Federal;Pública Federal;;;;3303203
31070019;ESCOLA DE GUERRA NAVAL;EGN;EGN;Pública Federal;Pública Federal;;;;3304557
31096018;UNIVERSIDADE DA FORCA AEREA;UNIFA;UNIFA;Pública Federal;Pública Federal;;;;3304557
31098010;ESCOLA DE COMANDO E ESTADO-MAIOR DO EXÉRCITO;ECEME;ECEME;Pública Federal;Pública Federal;;;;3304557
31030017;UNIVERSIDADE VEIGA DE ALMEIDA;UVA;UVA;Particular;Privada com fins lucrativos;;;;3304557
40077012;INSTITUTO SUPERIOR DE ADMINISTRAÇÃO E ECONOMIA DO MERCOSUL;ISAE;ISAE;Particular;Privada sem fins lucrativos;;;;4106902
31088015;CENTRO UNIVERSITÁRIO ESTADUAL DA ZONA OESTE;UEZO;UEZO;Pública Estadual;Pública Estadual;;;;3304557
31099017;INSTITUTO NACIONAL DE TRAUMATOLOGIA E ORTOPEDIA;INTO;INTO;Pública Federal;Pública Federal;;;;3304557
31055010;MUSEU DE ASTRONOMIA E CIÊNCIAS AFINS;MAST;MAST;Pública Federal;Pública Federal;;;;3304557
33301000;FUNDACAO CASA DE RUI BARBOSA;FCRB;FCRB;Pública Federal;Pública Federal;;;;3304557
33105014;Centro Universitário de Bauru;ITE;ITE;Particular;Privada sem fins lucrativos;;;;3506003
31058019;INSTITUTO DE ENGENHARIA NUCLEAR;IEN;IEN;Pública Federal;Pública Federal;;;;3304557
31049010;COLÉGIO PEDRO II;CPII;CPII;Pública Federal;Pública Federal;;;;3304557
25017012;ASSOCIAÇÃO INSTITUTO DE TECNOLOGIA DE PERNAMBUCO;ITEP;ITEP;Particular;Privada sem fins lucrativos;;;;2611606
31056016;INSTITUTO DE RADIOPROTEÇÃO E DOSIMETRIA;IRD;IRD;Pública Federal;Pública Federal;;;;3304557
15024016;Associação Instituto Tecnológico Vale;ITV;ITV;Particular;Privada sem fins lucrativos;;;;1501402
31068014;INSTITUTO NACIONAL DA PROPRIEDADE INDUSTRIAL;INPI;INPI;Pública Federal;Pública Federal;;;;3304557
31076017;INSTITUTO DO PATRIMÔNIO HISTÓRICO E ARTÍSTICO NACIONAL;IPHAN;IPHAN;Pública Federal;Pública Federal;;;;3304557
40033015;INSTITUTO DE TECNOLOGIA PARA O DESENVOLVIMENTO;LACTEC;LACTEC;Particular;Privada sem fins lucrativos;;;;4106902
31008011;ASSOCIAÇÃO INSTITUTO NACIONAL DE MATEMÁTICA PURA E APLICADA;IMPA;IMPA;Pública Federal;Pública Federal;;;;3304557
33278016;Associação Paradigma Centro de Ciências e Tecnologia do Comportamento.;PARADIGMA;PARADIGMA;Particular;Privada sem fins lucrativos;;;;3550308
31061010;INSTITUTO NACIONAL DE CÂNCER;INCA;INCA;Pública Federal;Pública Federal;;;;3304557
31073018;INSTITUTO NACIONAL DE CARDIOLOGIA;INC;INC;Pública Federal;Pública Federal;;;;3304557
31045014;ESCOLA NACIONAL DE CIÊNCIAS ESTATÍSTICAS;ENCE;ENCE;Pública Federal;Pública Federal;;;;3304557
32008015;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS;PUC/MG;PUC/MG;Particular;Privada sem fins lucrativos;SIM;SIM;SIM;3106200
31036015;LABORATÓRIO NACIONAL DE COMPUTAÇÃO CIÊNTÍFICA;LNCC;LNCC;Pública Federal;Pública Federal;;;;3303906
40003019;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ;PUC/PR;PUC/PR;Particular;Privada sem fins lucrativos;SIM;SIM;SIM;4106902
31040012;INSTITUTO FED. DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA FLUMINENSE;IFF;IFF;Pública Federal;Pública Federal;;;;3301009
31069010;INSTIT. NAC. METROLOGIA, NORMALIZAÇÃO E QUALIDADE INDUSTRIAL;INMETRO;INMETRO;Pública Federal;Pública Federal;;;;3301702
31033016;UNIVERSIDADE ESTADUAL DO NORTE FLUMINENSE DARCY RIBEIRO;UENF;UENF;Pública Estadual;Pública Estadual;;;;3301009
33305005;Instituto de Estudos do Mar Almirante Paulo Moreira;IEAPM;IEAPM;Pública Federal;Pública Federal;;;;3300258
23002018;UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE;UERN;UERN;Pública Estadual;Pública Estadual;;;;2408003
23001011;UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE;UFRN;UFRN;Pública Federal;Pública Federal;;;;2407104
23004010;Universidade Potiguar;UNP;UNP;Particular;Privada com fins lucrativos;;;;2408102
23005017;INSTITUTO FED. DE EDUC, CIÊN. E TECN. DO RIO GRANDE DO NORTE;IFRN;IFRN;Pública Federal;Pública Federal;;;;2408102
23003014;UNIVERSIDADE FEDERAL RURAL DO SEMI-ÁRIDO;UFERSA;UFERSA;Pública Federal;Pública Federal;;;;2408003
42005019;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;PUC/RS;PUC/RS;Particular;Privada sem fins lucrativos;SIM;SIM;SIM;4314902
10001018;UNIVERSIDADE FEDERAL DE RONDÔNIA;UNIR;UNIR;Pública Federal;Pública Federal;;;;1100205
13001019;FUNDAÇÃO UNIVERSIDADE FEDERAL DE RORAIMA;UFRR;UFRR;Pública Federal;Pública Federal;;;;1400100
13003011;UNIVERSIDADE ESTADUAL DE RORAIMA;UERR;UERR;Pública Estadual;Pública Estadual;;;;1400100
42046017;FUNDAÇÃO UNIVERSIDADE FEDERAL DO PAMPA;UNIPAMPA;UNIPAMPA;Pública Federal;Pública Federal;;;;4300406
33005010;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE SÃO PAULO;PUC/SP;PUC/SP;Particular;Privada sem fins lucrativos;SIM;SIM;SIM;3550308
33006016;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS;PUCCAMP;PUCCAMP;Particular;Privada sem fins lucrativos;SIM;SIM;SIM;3509502
52002012;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE GOIÁS;PUC-GOIÁS;PUC-GOIÁS;Particular;Privada sem fins lucrativos;SIM;SIM;SIM;5208707
42045010;UNIVERSIDADE ESTADUAL DO RIO GRANDE DO SUL;UERGS;UERGS;Pública Estadual;Pública Estadual;;;;4318200
31005012;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO;PUC-RIO;PUC-RIO;Particular;Privada sem fins lucrativos;SIM;SIM;SIM;3304557
42002010;UNIVERSIDADE FEDERAL DE SANTA MARIA;UFSM;UFSM;Pública Federal;Pública Federal;;;;4308508
33287015;SOCIEDADE BRASILEIRA DE BIOQUÍMICA E BIOLOGIA MOLECULAR;SBBq;SBBq;Particular;Privada sem fins lucrativos;;;;3550308
33283010;SOCIEDADE BRASILEIRA DE FÍSICA;SBF;SBF;Particular;Privada sem fins lucrativos;;;;3550308
42004012;UNIVERSIDADE FEDERAL DO RIO GRANDE;FURG;FURG;Pública Federal;Pública Federal;;;;4315602
42001013;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;UFRGS;UFRGS;Pública Federal;Pública Federal;;;;4314902
33147019;SOCIEDADE BRASILEIRA DE FISIOLOGIA;SBFis;SBFis;Particular;Privada sem fins lucrativos;;;;3550308
42043018;CENTRO UNIVERSITÁRIO RITTER DOS REIS;UNIRITTER;UNIRITTER;Particular;Privada com fins lucrativos;;;;4314902
42015014;FUNDAÇÃO UNIV. FEDERAL DE CIÊNCIAS DA SAÚDE DE PORTO ALEGRE;UFCSPA;UFCSPA;Pública Federal;Pública Federal;;;;4314902
33068011;SOCIEDADE BENEFICENTE ISRAELITA BRASILEIRA ALBERT EINSTEIN;SBIBAE;SBIBAE;Particular;Privada sem fins lucrativos;;;;3550308
31075010;SOCIEDADE BRASILEIRA DE MATEMÁTICA;SBM;SBM;Particular;Privada sem fins lucrativos;;;;3304557
31032010;UNIVERSIDADE CÂNDIDO MENDES;UCAM;UCAM;Particular;Privada sem fins lucrativos;;SIM;;3301009
42023017;HOSPITAL DE CLÍNICAS DE PORTO ALEGRE;HCPA;HCPA;Pública Federal;Pública Federal;;;;4314902
43001009;Hospital Nossa Senhora Conceição;GHC;GHC;Pública Federal;Pública Federal;;;;4314902
42003016;UNIVERSIDADE FEDERAL DE PELOTAS;UFPEL;UFPEL;Pública Federal;Pública Federal;;;;4304663
42033012;INSTITUTO FEDERAL DE EDUC., CIÊNC. E TECN. SUL-RIO-GRANDENSE;IFSul;IFSul;Pública Federal;Pública Federal;;;;4314407
53003012;Universidade Católica de Brasília;UCB;UCB;Particular;Privada sem fins lucrativos;;SIM;SIM;5300108
51002019;UNIVERSIDADE CATÓLICA DOM BOSCO;UCDB;UCDB;Particular;Privada sem fins lucrativos;SIM;SIM;SIM;5002704
42051010;FACULDADE MERIDIONAL;IMED;IMED;Particular;Privada com fins lucrativos;;;;4314100
31019013;UNIVERSIDADE CATOLICA DE PETROPOLIS;UCP/RJ;UCP/RJ;Particular;Privada sem fins lucrativos;SIM;SIM;SIM;3303906
42006015;UNIVERSIDADE CATÓLICA DE PELOTAS;UCPEL;UCPEL;Particular;Privada sem fins lucrativos;SIM;;;4314407
42008018;UNIVERSIDADE DE CAXIAS DO SUL;UCS;UCS;Particular;Privada sem fins lucrativos;SIM;;;4305108
42064015;FUNDAÇÃO ESTADUAL DE PESQUISA AGROPECUÁRIA;FEPAGRO;FEPAGRO;Pública Estadual;Pública Estadual;;;;4306767
28003012;UNIVERSIDADE CATÓLICA DO SALVADOR;UCSAL;UCSAL;Particular;Privada sem fins lucrativos;;SIM;SIM;2927408
32017014;UNIVERSIDADE  DE ITAÚNA;UI;UI;Particular;Privada sem fins lucrativos;;;;3133808
42019010;UNIVERSIDADE LUTERANA DO BRASIL;ULBRA;ULBRA;Particular;Privada sem fins lucrativos;;SIM;SIM;4304606
33017018;UNIVERSIDADE METODISTA DE SÃO PAULO;UMESP;UMESP;Particular;Privada sem fins lucrativos;SIM;;;3548708
42044014;INSTIT.FEDERAL DE EDUC., CIÊNC.E TECNOL.DO RIO GRANDE DO SUL;IFRS;IFRS;Pública Federal;Pública Federal;;;;4302105
33032017;UNIVERSIDADE DE RIBEIRÃO PRETO;UNAERP;UNAERP;Particular;Privada sem fins lucrativos;;SIM;;3543402
33125015;CENTRO UNIVERSITÁRIO ADVENTISTA DE SÃO PAULO;UNASP;UNASP;Particular;Privada sem fins lucrativos;SIM;SIM;SIM;3515152
41002016;UNIVERSIDADE DO ESTADO DE SANTA CATARINA;UDESC;UDESC;Pública Estadual;Pública Estadual;;;;4205407
41015010;UNIVERSIDADE DO EXTREMO SUL CATARINENSE;UNESC;UNESC;Particular;Privada sem fins lucrativos;;;;4204608
41025016;CENTRO UNIVERSITÁRIO FACVEST;FACVEST;FACVEST;Particular;Privada com fins lucrativos;;;;4209300
40035018;CENTRO UNIVERSITÁRIO CAMPOS DE ANDRADE;UNIANDRADE;UNIANDRADE;Particular;Privada sem fins lucrativos;;;;4106902
41001010;UNIVERSIDADE FEDERAL DE SANTA CATARINA;UFSC;UFSC;Pública Federal;Pública Federal;;;;4201406
41017013;CENTRO UNIVERSITÁRIO SOCIESC;UNISOCIESC;UNISOCIESC;Pública Municipal;Pública Municipal;;;;4209102
33082014;UNIVERSIDADE DE ARARAQUARA;UNIARA;UNIARA;Particular;Privada sem fins lucrativos;;;;3503208
41011015;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SANTA CATARINA;IFSC;IFSC;Pública Federal;Pública Federal;;;;4205407
33114013;CENTRO UNIVERSITÁRIO HERMINIO OMETTO;UNIARARAS;UNIARARAS;Particular;Privada sem fins lucrativos;;SIM;;3503307
33057010;UNIVERSIDADE IBIRAPUERA;UNIB;UNIB;Particular;Privada sem fins lucrativos;;;;3550308
25002015;UNIVERSIDADE CATÓLICA DE PERNAMBUCO;UNICAP;UNICAP;Particular;Privada sem fins lucrativos;SIM;;;2611606
42070007;Universidade Alto Vale do Rio do Peixe;UNIARP;UNIARP;Pública Municipal;Pública Municipal;;;;4203006
41009010;UNIVERSIDADE DO CONTESTADO;UNC;UNC;Pública Municipal;Pública Municipal;;;;4203808
41006011;UNIVERSIDADE REGIONAL DE BLUMENAU;FURB;FURB;Pública Municipal;Pública Municipal;;;;4202404
41012011;Instituto Federal de Educação, Ciência e Tecnologia Catarinense;IFC;IFC;Pública Federal;Pública Federal;;;;4201307
27001016;FUNDAÇÃO UNIVERSIDADE FEDERAL DE SERGIPE;FUFSE;FUFSE;Pública Federal;Pública Federal;;;;2800308
27005011;INSTITUTO FED. DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SERGIPE;IFS;IFS;Pública Federal;Pública Federal;;;;2800308
27002012;UNIVERSIDADE TIRADENTES;UNIT-SE;UNIT-SE;Particular;Privada com fins lucrativos;;;;2800308
33004188;UNIVERSIDADE EST.PAULISTA JÚLIO DE MESQUITA FILHO/TUPÃ;UNESP/TUPÃ;UNESP;Pública Estadual;Pública Estadual;;;;3555000
33021015;UNIVERSIDADE DE TAUBATÉ;UNITAU;UNITAU;Pública Municipal;Pública Municipal;;;;3554102
33004161;UNIVERSIDADE EST.PAULISTA JÚLIO DE MESQUITA FILHO/S.VICENTE;UNESP/SV;UNESP;Pública Estadual;Pública Estadual;;;;3551009
33002010;UNIVERSIDADE DE SÃO PAULO;USP;USP;Pública Estadual;Pública Estadual;;;;3506003
33056013;UNIVERSIDADE CAMILO CASTELO BRANCO;UNICASTELO;UNICASTELO;Particular;Privada sem fins lucrativos;;SIM;;3513702
53005015;CENTRO UNIVERSITÁRIO DE BRASÍLIA;UniCEUB;UniCEUB;Particular;Privada sem fins lucrativos;;;;5300108
20009011;CEUMA - ASSOC.ENSINO SUPERIOR - MANTENEDORA;UNICEUMA;UNICEUMA;Particular;Privada sem fins lucrativos;;;;2111300
42037018;UNIVERSIDADE DE CRUZ ALTA;UNICRUZ;UNICRUZ;Particular;Privada sem fins lucrativos;SIM;SIM;;4306106
53017013;CENTRO UNIVERSITÁRIO EURO-AMERICANO;UNIEURO;UNIEURO;Particular;Privada sem fins lucrativos;;;;5300108
52006018;CENTRO UNIVERSITÁRIO DE ANÁPOLIS;UNIEVANGELICA;UNIEVANGELICA;Particular;Privada sem fins lucrativos;;;;5201108
33106010;UNIVERSIDADE ANHEMBI MORUMBI;UAM;UAM;Particular;Privada com fins lucrativos;;;;3550308
33245010;CENTRO UNIVERSITÁRIO TERESA D´ÁVILA;UNIFATEA;UNIFATEA;Particular;Privada sem fins lucrativos;;;;3527207
33096015;CENTRO UNIVERSITÁRIO FECAP;UniFECAP;UniFECAP;Particular;Privada sem fins lucrativos;SIM;;;3550308
32145012;FUNDACAO EDUCACIONAL MONSENHOR MESSIAS;UNIFEMM;UNIFEMM;Particular;Privada sem fins lucrativos;;;;3167202
32016018;UNIVERSIDADE JOSÉ DO ROSÁRIO VELLANO;UNIFENAS;UNIFENAS;Particular;Privada sem fins lucrativos;;;;3101607
33079013;CENTRO UNIVERSITÁRIO FIEO;UNIFIEO;UNIFIEO;Particular;Privada sem fins lucrativos;;;;3534401
31067018;CENTRO UNIVERSITÁRIO DE VOLTA REDONDA;UniFOA;UniFOA;Particular;Privada sem fins lucrativos;;;;3306305
33072019;UNIVERSIDADE SÃO JUDAS TADEU;USJT;USJT;Particular;Privada com fins lucrativos;;;;3550308
33208018;FIAM-FAAM - CENTRO UNIVERSITÁRIO;FIAMFAAM;FIAMFAAM;Particular;Privada com fins lucrativos;;;;3550308
33004013;UNIVERSIDADE EST.PAULISTA JÚLIO DE MESQUITA FILHO;UNESP;UNESP;Pública Estadual;Pública Estadual;;;;3550308
33015015;INSTITUTO DE FÍSICA TEÓRICA/UNESP;IFT/UNESP;UNESP;Pública Estadual;Pública Estadual;;;;3550308
33078017;UNIVERSIDADE CRUZEIRO DO SUL;UNICSUL;UNICSUL;Particular;Privada com fins lucrativos;;;;3550308
22002014;UNIVERSIDADE DE FORTALEZA;UNIFOR;UNIFOR;Particular;Privada sem fins lucrativos;;;;2304400
33002029;UNIVERSIDADE DE SÃO PAULO/ RIBEIRÃO PRETO;USP/RP;USP;Pública Estadual;Pública Estadual;;;;3543402
33120013;INSTITUTO DE BOTANICA;IBT;IBT;Pública Estadual;Pública Estadual;;;;3550308
33107017;Universidade Anhanguera de São Paulo;UNIAN-SP;UNIAN-SP;Particular;Privada com fins lucrativos;;;;3550308
33004153;UNIVERSIDADE EST.PAULISTA JÚLIO DE MESQUITA FILHO/SJR. PRETO;UNESP/SJRP;UNESP;Pública Estadual;Pública Estadual;;;;3549805
42039010;CENTRO UNIVERSITÁRIO FRANCISCANO;UNIFRA;UNIFRA;Particular;Privada sem fins lucrativos;SIM;SIM;SIM;4316907
33009015;UNIVERSIDADE FEDERAL DE SÃO PAULO;UNIFESP;UNIFESP;Pública Federal;Pública Federal;;;;3513801
33045011;INSTITUTO BUTANTAN;IBU;IBU;Pública Estadual;Pública Estadual;;;;3550308
42024013;UNIV. REGIONAL DO NOROESTE DO ESTADO DO RIO GRANDE DO SUL;UNIJUÍ;UNIJUÍ;Particular;Privada sem fins lucrativos;SIM;SIM;;4310207
42021014;CENTRO UNIVERSITÁRIO LA SALLE;UNILASALLE;UNILASALLE;Particular;Privada sem fins lucrativos;SIM;;;4304606
33007012;UNIVERSIDADE METODISTA DE PIRACICABA;UNIMEP;UNIMEP;Particular;Privada sem fins lucrativos;SIM;SIM;SIM;3538709
33103011;UNIVERSIDADE METROPOLITANA DE SANTOS;UNIMES;UNIMES;Particular;Privada sem fins lucrativos;;;;3548500
33136017;FACULDADE AUTÔNOMA DE DIREITO;FADISP;FADISP;Particular;Privada com fins lucrativos;;;;3550308
32021011;UNIVERSIDADE VALE DO RIO VERDE;UNINCOR;UNINCOR;Particular;Privada sem fins lucrativos;;;;3169307
40038017;CENTRO UNIVERSITÁRIO INGÁ;UNINGÁ;UNINGÁ;Particular;Privada sem fins lucrativos;;;;4115200
33052018;UNIVERSIDADE CIDADE DE SÃO PAULO;UNICID;UNICID;Particular;Privada com fins lucrativos;;;;3550308
33126011;CENTRO ESTADUAL DE EDUCAÇÃO TECNOLÓGICA PAULA SOUZA;CEETEPS;CEETEPS;Pública Estadual;Pública Estadual;;;;3550308
12006017;UNIVERSIDADE NILTON LINS;UNINILTON;UNINILTON;Particular;Privada sem fins lucrativos;;;;1302603
33092010;UNIVERSIDADE NOVE DE JULHO;UNINOVE;UNINOVE;Particular;Privada sem fins lucrativos;;;;3550308
22021019;CENTRO UNIVERSITÁRIO INTA;UNINTA;UNINTA;Particular;Privada sem fins lucrativos;;;;2312908
33083010;INSTITUTO DE PESQ.TECNOLÓGICAS DO ESTADO DE SÃO PAULO;IPT;IPT;Pública Estadual;Pública Estadual;;;;3550308
33084017;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECN. DE SÃO PAULO;IFSP;IFSP;Pública Federal;Pública Federal;;;;3550308
33063010;UNIVERSIDADE PAULISTA;UNIP;UNIP;Particular;Privada sem fins lucrativos;;;;3550308
33003017;UNIVERSIDADE ESTADUAL DE CAMPINAS;UNICAMP;UNICAMP;Pública Estadual;Pública Estadual;;;;3509502
40028011;UNIVERSIDADE PARANAENSE;UNIPAR;UNIPAR;Particular;Privada sem fins lucrativos;;;;4128104
24003018;CENTRO UNIVERSITÁRIO DE JOÃO PESSOA;UNIPÊ;UNIPÊ;Particular;Privada sem fins lucrativos;;;;2507507
33141010;INSTITUTO BIOLÓGICO;IBSP;IBSP;Pública Estadual;Pública Estadual;;;;3550308
33157014;FUND JORGE DUPRAT FIGUEIREDO DE SEGURANÇA E MED DO TRABALHO;FUNDACENTR;FUNDACENTR;Pública Federal;Pública Federal;;;;3550308
33038015;INSTITUTO DE ASSIST. MÉDICA AO SERVIDOR PÚBLICO ESTADUAL;IAMSPE;IAMSPE;Pública Estadual;Pública Estadual;;;;3550308
33073015;FUNDAÇÃO ANTONIO PRUDENTE - HOSPITAL A. C. CAMARGO;FAP;FAP;Particular;Privada com fins lucrativos;;;;3550308
41019016;UNIVERSIDADE DO PLANALTO CATARINENSE;UNIPLAC/SC;UNIPLAC/SC;Particular;Privada sem fins lucrativos;;;;4209300
33115010;COORDENADORIA CONTROLE DE DOENÇAS DA SEC EST DA SAÚDE DE SP;CCD/SES;CCD/SES;Pública Estadual;Pública Estadual;;;;3550308
33076014;UNIVERSIDADE DE SANTO AMARO;UNISA;UNISA;Particular;Privada sem fins lucrativos;;SIM;;3550308
33131015;CENTRO UNIVERSITÁRIO SALESIANO DE SÃO PAULO;UNISAL;UNISAL;Particular;Privada sem fins lucrativos;;;;3550308
33115028;COORDENADORIA DE RECURSOS HUMANOS DA SEC EST DA SAÚDE DE SP;CRH/SES-SP;CRH/SES-SP;Pública Estadual;Pública Estadual;;;;3550308
33132011;INSTITUTO DE PESCA - APTA - SEC. DE AGR. E ABAST. - SP;IP;IP;Pública Estadual;Pública Estadual;;;;3550308
33153019;CENTRO UNIVERS. DAS FACULDADES ASSOCIADAS DE ENSINO FAE;UNIFAE-SP;UNIFAE-SP;Pública Municipal;Pública Municipal;;;;3549102
33010013;INSTITUTO NACIONAL DE PESQUISAS ESPACIAIS;INPE;INPE;Pública Federal;Pública Federal;;;;3549904
33011010;INSTITUTO TECNOLÓGICO DE AERONÁUTICA;ITA;ITA;Pública Federal;Pública Federal;;;;3549904
33087016;UNIVERSIDADE SANTA CECÍLIA;UNISANTA;UNISANTA;Particular;Privada sem fins lucrativos;;;;3548500
33004145;UNIVERSIDADE EST.PAULISTA JÚLIO DE MESQUITA FILHO/S.J.CAMPOS;UNESP/SJC;UNESP;Pública Estadual;Pública Estadual;;;;3549904
33031010;FACULDADE DE MEDICINA DE SÃO JOSÉ DO RIO PRETO;FAMERP;FAMERP;Pública Estadual;Pública Estadual;;;;3549805
33001014;UNIVERSIDADE FEDERAL DE SÃO CARLOS;UFSCAR;UFSCAR;Pública Federal;Pública Federal;;;;3503307
33002045;UNIVERSIDADE DE SÃO PAULO/SÃO CARLOS;USP/SC;USP;Pública Estadual;Pública Estadual;;;;3548906
33110018;UNIVERSIDADE MUNICIPAL DE SÃO CAETANO DO SUL;USCS;USCS;Pública Municipal;Pública Municipal;;;;3548807
33020019;UNIVERSIDADE CATÓLICA DE SANTOS;UNISANTOS;UNISANTOS;Particular;Privada sem fins lucrativos;SIM;SIM;SIM;3548500
42020018;UNIVERSIDADE DE SANTA CRUZ DO SUL;UNISC;UNISC;Particular;Privada sem fins lucrativos;SIM;SIM;;4316808
42007011;UNIVERSIDADE DO VALE DO RIO DOS SINOS;UNISINOS;UNISINOS;Particular;Privada sem fins lucrativos;SIM;SIM;SIM;4318705
33144010;UNIVERSIDADE FEDERAL DO ABC;UFABC;UFABC;Pública Federal;Pública Federal;;;;3547809
33004170;UNIVERSIDADE EST.PAULISTA JÚLIO DE MESQUITA FILHO/SOROCABA;UNESP/SOR;UNESP;Pública Estadual;Pública Estadual;;;;3552205
33065012;UNIVERSIDADE DE SOROCABA;UNISO;UNISO;Particular;Privada sem fins lucrativos;SIM;SIM;;3552205
31063012;CENTRO UNIVERSITÁRIO AUGUSTO MOTTA;UNISUAM;UNISUAM;Particular;Privada sem fins lucrativos;;SIM;;3304557
41008014;UNIVERSIDADE DO SUL DE SANTA CATARINA;UNISUL;UNISUL;Particular;Privada sem fins lucrativos;SIM;;;4218707
32036019;UNIVERSIDADE DE UBERABA;UNIUBE;UNIUBE;Particular;Privada sem fins lucrativos;;SIM;;3170107
32009011;UNIVERSIDADE VALE DO RIO DOCE;UNIVALE;UNIVALE;Particular;Privada sem fins lucrativos;;;;3127701
41005015;UNIVERSIDADE DO VALE DO ITAJAÍ;UNIVALI;UNIVALI;Particular;Privada sem fins lucrativos;SIM;SIM;;4208203
33004137;UNIVERSIDADE EST.PAULISTA JÚLIO DE MESQUITA FILHO/RIO CLARO;UNESP/RC;UNESP;Pública Estadual;Pública Estadual;;;;3506003
33051011;UNIVERSIDADE DO VALE DO PARAÍBA;UNIVAP;UNIVAP;Particular;Privada sem fins lucrativos;SIM;SIM;;3549904
32073011;UNIVERSIDADE DO VALE DO SAPUCAI;UNIVAS;UNIVAS;Particular;Privada sem fins lucrativos;;;;3152501
42014018;FUNDACAO VALE DO TAQUARI DE EDUCACAO E DESENVOLVIMENTO SOCIAL - FUVATES;UNIVATES;UNIVATES;Particular;Privada sem fins lucrativos;SIM;;;4311403
33004129;UNIVERSIDADE EST.PAULISTA JÚLIO DE MESQUITA FILHO/PR.PRUDENTE;UNESP/PP;UNESP;Pública Estadual;Pública Estadual;;;;3541406
33002037;UNIV.DE SÃO PAULO/ESCOLA SUP. DE AGRICULTURA LUIZ DE QUEIROZ;USP/ESALQ;USP;Pública Estadual;Pública Estadual;;;;3538709
33002061;UNIV. DE SÃO PAULO/CENTRO DE ENERG. NUCL.  AGRICULTURA;USP/CENA;USP;Pública Estadual;Pública Estadual;;;;3538709
33003033;UNIVERSIDADE ESTADUAL DE CAMPINAS/PIRACICABA;UNICAMP/Pi;UNICAMP;Pública Estadual;Pública Estadual;;;;3538709
33117012;UNIVERSIDADE UNIVERSUS VERITAS GUARULHOS;UNIVERITAS UNG;UNIVERITAS UNG;Particular;Privada sem fins lucrativos;;;;3518800
